용어,챗봇
제1종 일반주거지역,"용도지역의 주거지역 중 일반주거지역의 하나로, 저층주택을 중심으로 편리한 주거환경을 조성하기 위해 국토교통부장관 · 시 · 도지사 또는 서울특별시 · 광역시 및 특별자치시를 제외한 인구 50만 이상 대도시의 시장이 지정하는 지역을 말한다.제1종일반주거지역의 건폐율은 60% 이하이며 용적률은 100% 이상 200% 이하이다. 4층 이하의 단독주택, 공동주택, 제1종 근린생활시설, 유치원 · 초등학교 · 중학교 · 고등학교, 노유자시설의 설립이 가능하며 관할구역의 면적 및 인구규모, 용도지역의 특성 등을 감안하여 특별시 · 광역시 · 특별자치시 · 특별자치도 · 시 · 또는 군의 조례로 할 수 있다.주거지역은 전용주거지역, 일반주거지역, 준주거지역으로 구분되며 일반주거지역은 제1종 일반주거지역, 제2종 일반주거지역, 제3종 일반주거지역으로 구분된다.근거는 국토의 계획 및 이용에 관한 법률이다."
자연녹지지역,"국토의 계획 및 이용에 관한 법률에 의해 지정된 용도 중 녹지지역의 하나로 도시의 녹지공간의 확보, 도시 확산의 방지, 장래도시용지의 공급 등을 위해 보전할 필요가 있는 지역으로서 불가피한 경우에 한해 제한적인 개발이 허용되는 지역이다.자연 녹지지역 안에서는 도시계획조례로 따로 층수를 정하는 경우를 제외하고는 4층 이하의 건물만을 건설 할 수 있으며 그 건물들은 단독주택, 1종 근린생활시설, 2종 근린생활시설, 의료시설, 교육연구시설, 노유자시설, 수련시설, 운동시설, 창고, 동물 및 식물 관련시설, 자원순환 관련시설, 교정 및 국방 · 군사시설, 방송통신시설, 발전시설, 묘지관련시설, 관광휴게 시설 들만을 건설 할 수 있다."
제2종 일반주거지역,"용도지역의 주거지역 중 일반주거지역의 하나로, 중층주택을 중심으로 편리한 주거환경을 조성하기 위해 국토교통부장관 · 시 · 도지사 또는 서울특별시 · 광역시 및 특별자치시를 제외한 인구 50만 이상 대도시의 시장이 지정하는 지역을 말한다.제2종일반주거지역의 건폐율은 60% 이하이며 용적률은 150% 이상 250% 이하이다. 단독주택, 공동주택, 제1종 근린생활시설, 종교시설, 유치원 · 초등학교 · 중학교 · 고등학교, 노유자시설의 설립이 가능하며 2012년 1월 20일 이후에 건축법 시행령 별표 1에서 새로이 규정하는 건축물 등 일정한 요건을 충족하는 건축물의 종류 및 규모 등의 제한에 관하여는 해당 특별시 · 광역시 · 특별자치시 · 특별자치도 · 시 또는 군의 조례로 정할 수 있다.주거지역은 전용주거지역, 일반주거지역, 준주거지역으로 구분되며 일반주거지역은 제1종 일반주거지역, 제2종 일반주거지역, 제3종 일반주거지역으로 구분된다.근거는 국토의 계획 및 이용에 관한 법률이다."
제3종 일반주거지역,"용도지역의 주거지역 중 일반주거지역의 하나로, 중 · 고층주택을 중심으로 편리한 주거환경을 조성하기 위해 국토교통부장관, 시 · 도지사 또는 대도시 시장이 지정하는 지역을 말한다.제3종 일반주거지역의 건폐율은 50% 이하이며 용적률은 200% 이상 300% 이하이다. 단독주택, 공동주택, 제1종 근린생활시설, 종교시설, 유치원 · 초등학교 · 중학교 · 고등학교, 노유자시설의 설립이 가능하며 이 범위 안에서 관할구역의 면적 및 인구규모, 용도지역의 특성 등을 감안하여 특별시 · 광역시 · 특별자치시 · 특별자치도 · 시 또는 군의 조례로 정할 수 있다.주거지역은 전용주거지역, 일반주거지역, 준주거지역으로 구분되며 일반주거지역은 제1종 일반주거지역, 제2종 일반주거지역, 제3종 일반주거지역으로 구분된다.근거는 국토의 계획 및 이용에 관한 법률이다."
노유자시설,"교육 및 복지 시설군에 속하는 시설로서 아동 관련 시설(어린이집, 아동복지시설, 그 밖에 이와 비슷한 것으로서 단독주택, 공동주택 및 제1종 근린생활시설에 해당하지 않는 것을 말함), 노인복지시설(단독주택과 공동주택에 해당하지 않는 것을 말함), 그 밖에 다른 용도로 분류되지 않은 사회복지시설 및 근로복지시설을 말한다. 근거법은 건축법과 동법 시행령이다."
장기수선충당금,"장기수선계획에 따라 공동주택의 주요 시설의 교체 및 보수에 필요한 금액을 말한다. 장기수선충당금의 요율은 해당 공동주택의 공용부분의 내구연한 등을 감안하여 관리규약으로 정하고, 적립금액은 장기수선계획으로 정한다.장기수선충당금은 해당 공동주택의 사용검사 또는 사용승인일 (단지안의 아파트의 전부에 대하여 임시사용승인을 받은 경우에는 임시사용승인일을 말함)부터 1년이 경과한 날이 속하는 달부터 매월 적립하며, 분양되지 않은 세대의 장기수선충당금은 사업주체가 부담해야 한다.공동주택의 사용자(세입자)가 그 소유자를 대신하여 장기수선충당금을 납부한 경우에는 해당 주택의 소유자는 그 금액을 반환하여야 한다. 장기수선충당금을 이 법에 따른 용도 외의 목적으로 사용한 자는 1천만원 이하의 과태료를 부과받는다. 장기수선충당금의 사용은 장기수선계획에 따르나, 입주자 과반수의 서면동의가 있는 경우에는 다음의 용도로 사용할 수 있다.① 하자심사 · 분쟁조정위원회 조정 등의 비용② 하자진단 및 감정에 드는 비용③ 위의 비용을 청구하는데 드는 비용. 장기수선충당금은 관리주체가 장기수선충당금 사용계획서를 장기수선계획에 따라 작성하고 입주자대표회의의 의결을 거쳐 사용한다.서울시에서 25개 단지를 조사한 결과 장기수선계획 및 충당금은 다음과 같은 운영상 부적정한 사례가 있는 것으로 나타났다(2013 맑은 아파트 만들기 실태조사, 2014.5 공동주택과).① 형식적인 장기수선계획 수립② 장기수선계획 대비 충당금 과소 적립으로 적기 보수 · 보강불가③ 장기수선충당금을 소송비용 등 목적 외 사용④ 건물 노후화로 인한 주민 생활불편(生活不便) 야기⑤ 장기수선충당금을 계획 없이 사용, 공사 집행부적정 및 내역 미공개⑥ 장기수선충당금 부족분을 주차충당금 등에서 부적정하게 지급.관리사무소에서는 이러한 일이 발생하지 않도록 관리해야 한다.근거는 공동주택관리법이다."
일반주거지역,"편리한 주거환경을 조성하기 위해 필요한 지역으로 저층주택을 중심으로 편리한 주거환경을 조성하기 위한 제1종 일반주거지역, 중층주택을 중심으로 편리한 주거환경을 조성하기 위한 제2종 일반주거지역, 중고층주택을 중심으로 편리한 주거환경을 조성하기 위한 제3종 일반주거지역으로 구분할 수 있다.건축 가능한 건축물의 종류는 국토의 계획 및 이용에 관한 법률 시행령 별표4, 5, 6 참조."
제1종 국민주택채권,"기획재정부장관이 국토교통부장관의 요청에 따라 국민주택사업에 필요한 자금을 조달하기 위하여 주택도시기금의 부담으로 발행하는 채권을 말한다. 국민주택채권은 제1종국민주택채권과 제2종국민주택채권으로 구분되어 발행된다. 구분기준은 매입대상에 있다.제1종국민주택채권 매입대상은① 국가 또는 지방자치단체로부터 면허 · 허가 · 인가를 받는 자② 국가 또는 지방자치단체에 등기 · 등록을 신청하는 자③ 국가 · 지방자치단체 또는 정부가 납입자본금의 100분의 50 이상을 출자한 공공기관과 건설공사의 도급계약을 체결하는 자이다.해당 면허 · 허가 · 등록이 제1종국민주택채권 매입자에게 책임 없는 사유로 철회되거나 취소된 경우가 아니면 중도상환하지 않는다.제1종국민주택채권의 원리금은 발행일부터 5년이 되는 날에 상환한다. 제1종국민주택채권의 이자는 그 발행일부터 상환일 전일까지 제1항에 따른 이율을 적용하여 1년 단위의 복리로 계산한다. 제1종국민주택채권의 매출일부터 발행일 전일까지의 이자는 매출하는 때에 지급한다. 국민주택채권의 매출 및 상환 업무는 국토교통부장관이 지정하는 금융기관이 취급한다.국가기관, 지방자치단체 또는 공공기관의 장은 다음과 같은 시기에 국민주택채권의 매입사실을 채권관리정보시스템을 통하여 조회 · 확인하여야 한다.① 면허 · 허가 또는 등록(건설기계 신규등록은 제외한다)을 하는 경우: 해당 면허 · 허가 또는 등록이 있었음을 증명하는 서류를 교부할 때② 등기 또는 건설기계 신규등록을 하는 경우: 해당 등기신청서 또는 등록신청서를 접수할 때③ 건설공사의 도급계약을 체결하는 경우: 도급계약을 체결할 때.근거법은 주택도시기금법이다."
표현대리,"대리권이 없는 자가 대리인이라고 칭하고 행하는 행위를 말하는 것이다. 대리인에게 대리권이 없음에도 불구하고 마치 그것(대리권)이 있는 것과 같은 외관이 있고, 그러한 외관의 발생에 본인이 어느 정도 책임이 있는 경우에, 대리인의 대리권 없는 대리행위의 효과를 본인에게 귀속시키는 것을 표현대리라고 한다."
지구단위계획구역,"도시 · 군계획 수립 대상지역의 일부에 토지 이용을 합리화하고 그 기능을 증진시키며 미관을 개선하고 양호한 환경을 확보하며, 그 지역을 체계적 · 계획적으로 관리하기 위하여 수립하는 도시 · 군관리계획으로 결정, 고시한 구역을 말한다. 지구단위계획구역은 국토교통부장관, 시 · 도지사 , 시장 또는 군수가 지정할 수 있다. 지구단위계획구역에서 건축물을 건축하거나 용도를 변경하려면 그 지구단위계획에 맞게 건축하거나 용도를 변경해야 한다.지정되는 지역은 다음과 같다.① 국토의 계획 및 이용에 관한 법률에 정하는 용도지구② 도시개발법에 따라 지정된 도시개발구역③ 도시 및 주거환경정비법에 따라 지정된 정비구역④ 택지개발촉진법에 따라 지정된 택지개발지구⑤ 주택법에 따른 대지조성사업지구⑥ 산업입지 및 개발에 관한 법률의 산업단지와 준산업단지⑦ 관광진흥법에 따라 지정된 관광단지와 관광특구⑧ 개발제한구역 · 도시자연공원구역 · 시가화조정구역 또는 공원에서 해제되는 구역, 녹지지역에서 주거 · 상업 · 공업지역으로 변경되는 구역과 새로 도시지역으로 편입되는 구역 중 계획적인 개발 또는 관리가 필요한 지역⑨ 도시지역 내 주거 · 상업 · 업무 등의 기능을 결합하는 등 복합적인 토지 이용을 증진시킬 필요가 있는 지역으로서 대통령령으로 정하는 요건에 해당하는 지역⑩ 도시지역 내 유휴 토지를 효율적으로 개발하거나 교정시설, 군사시설, 그 밖에 대통령령으로 정하는 시설을 이전 또는 재배치하여 토지 이용을 합리화하고, 그 기능을 증진시키기 위하여 집중적으로 정비가 필요한 지역으로서 대통령령으로 정하는 요건에 해당하는 지역⑪ 도시지역의 체계적 · 계획적인 관리 또는 개발이 필요한 지역⑫ 그 밖에 양호한 환경의 확보나 기능 및 미관의 증진 등을 위하여 필요한 지역으로서 대통령령으로 정하는 지역.관련법은 국토의 계획 및 이용에 관한 법률이다."
