구분,유저,내용
정책,목돈 마련이 어려운 근로청년 및 취업준비생의 소득대비 높은 주거비용 부담경감을 위해 임차보증금 대출을 지원 합니다.,"청년임차보증금 이자지원.
바로가기링크:https://housing.seoul.go.kr/site/main/content/sh01_040901"
정책,"에너지 이용 효율을 높이고 온실가스를 감축하기 위해 건물 단열공사, LED 조명교체, 고효율 보일러 교체 등의 에너지 절약 설비 설치 시 시민들의 경제 부담을 완화시키기 위해 장기·무이자로 융자를 지원해주는 사업 입니다.","건물 에너지 효율화 사업 융자지원.
바로가기링크:https://housing.seoul.go.kr/site/main/content/sh01_070902"
정책,저층주거지 내 노후주택 집수리 융자 지원 집수리 공사비용의 일부를 지원하여 저층주거지 내 노후주택 거주자의 주거환경을 개선하기 위한 사업입니다.,"주택개량 신축융자지원.
바로가기링크:https://housing.seoul.go.kr/site/main/content/sh01_070802"
정책,"반지하 주택, 주거 취약가구 거주주택 등 취약 거주시설의 주거환경 개선을 위해 집수리 보조금 일부를 지원하는 사업입니다.","안심 집수리 보조사업.
바로가기링크:https://housing.seoul.go.kr/site/main/content/sh01_070801"
정책,"주택의 자가진단, 견적서 보는 법, 단열·방수 등 분야별 이론교육과 공구사용법 등 다양한 실습교육을 통해 스스로 집수리를 할 수 있도록 도움을 드리는 교육과정입니다.","집수리 아카데미.
바로가기링크:https://housing.seoul.go.kr/site/main/content/sh01_070704"
정책,1군 발암물질인 석면을 10~15% 가량 고함량으로 함유하고 있는 슬레이트를 지붕으로 쓰고 있는 70년대 초 낡은 가옥들의 노후화에 따른 석면 피해를 줄이기 위해 슬레이트 지붕의 조기 철거와 처리를 위한 사업 입니다.,"슬레이트 처리 및 지붕 개량.
바로가기링크:https://housing.seoul.go.kr/site/main/content/sh01_070703"
정책,"사회주택은 전월세난 지속에 따른 민간 임대주택 확대가 필요한 상황에서 1인 가구 증가, 청년세대의 주거비 부담 문제 등을 해결하기 위해, 저렴한 임대료로 오랫동안 안심하고 살 수 있는 주택으로 사회적 경제주체가 공급하고 운영하는 임대주택입니다.","사회주택.
바로가기링크:https://housing.seoul.go.kr/site/main/content/sh01_050201"
정책,"독립된 공동체공간(커뮤니티 공간)을 설치한 주거공간으로, 공동체 규약을 마련하여 입주자간 소통·교류를 통해 생활 문제를 해결하거나 공동체활동을 함께하는 새로운 형태의 주택입니다.","공동체 주택.
바로가기링크:https://housing.seoul.go.kr/site/main/content/sh01_050101"
정책,"서울시에서 생활하는 저소득층, 저소득 청년층 및 신혼부부의 주거안정을 위해 중앙정부·서울시·서울주택도시공사의 재정과 주택도시기금을 지원받아 서울주택도시공사에서 주택을 매입하여 현 생활권에서 최장 20년까지 거주할 수 있도록 주변시세보다 저렴하게 공급하는 공공임대주택입니다.","신축주택 매입임대주택.
바로가기링크:https://housing.seoul.go.kr/site/main/content/sh01_060512"
정책,"대학생, 취업준비생의 전세임대를 돕기 위해 입주대상자로 선정된 자(대학생,취업준비생)가 거주할 지역을 물색하면 LH가 주택소유자와 전세계약을 체결한 후 재임대하는 정책입니다.","청년전세임대주택.
바로가기링크:https://housing.seoul.go.kr/site/main/content/sh01_060506"
